id,authors,year,field,running_variable,cutoff,treatment,outcome,finding,sharp_fuzzy,country,variant,source
1,Thistlethwaite and Campbell,1960,Education,Test score,Score threshold for merit award,Receipt of merit award (scholarship),Future academic outcomes (career aspirations),First-ever RDD paper; examined whether merit awards affected academic aspirations,Sharp,United States,Canonical (first RDD ever),Lee-Lemieux
2,Angrist and Lavy,1999,Education,School enrollment,Multiples of 40 students (Maimonides' Rule),Smaller class size (extra class added),Test scores,Smaller classes led to significantly higher test scores especially for disadvantaged students,Fuzzy,Israel,Maimonides' Rule,Lee-Lemieux
3,Van der Klaauw,2002,Education,SAT scores and GPA,Financial aid eligibility threshold,Financial aid offer,College enrollment,Financial aid offers significantly increased enrollment; one of the first modern economics RDD papers,Fuzzy,United States,Standard,Lee-Lemieux
4,Hoxby,2000,Education,School enrollment,Class size thresholds (Maimonides' Rule),Class size,Test scores,Replicated class-size RDD in Connecticut; findings differed from Angrist and Lavy,Fuzzy,United States,Maimonides' Rule,Lee-Lemieux
5,Urquiola,2006,Education,School enrollment,Class size thresholds (Maimonides' Rule),Class size,Test scores,Found class size effects in Bolivia,Fuzzy,Bolivia,Maimonides' Rule,Lee-Lemieux
6,Urquiola and Verhoogen,2009,Education,School enrollment,Class size cap thresholds,Class size and sorting behavior,Test scores and enrollment manipulation,Found strategic manipulation — schools game enrollment to stay below class size caps,Fuzzy,Chile,Sorting/manipulation concern,Both
7,Jacob and Lefgren,2004,Education,School test score averages,Score threshold for teacher training mandate,Mandatory teacher professional development,Test scores,Studied impact of remedial teacher training triggered by low school scores in Chicago,Fuzzy,United States,Standard,Lee-Lemieux
8,Jacob and Lefgren,2004,Education,Standardized test scores,Promotion threshold,Mandatory summer school and grade retention,Test scores,Studied effects of mandatory summer school and retention on achievement in Chicago,Sharp,United States,Standard,Lee-Lemieux
9,Matsudaira,2008,Education,Test scores,Score threshold for mandatory summer school,Summer school attendance,Test scores,Studied mandatory summer school effects on student achievement,Fuzzy,United States,Standard,Lee-Lemieux
10,Chay McEwan and Urquiola,2005,Education,School averages of test scores,Score threshold for improved designation,Extra resources and infrastructure,Test scores,Schools below threshold received extra resources; positive effects but mean reversion is a concern,Fuzzy,Chile,Mean reversion concern,Lee-Lemieux
11,Chiang,2009,Education,School assessment score,Accountability grading threshold,Threat of sanctions (school accountability),Test scores,Examined how accountability pressure from Florida's grading system affects achievement,Sharp,United States,Standard,Lee-Lemieux
12,Clark,2009,Education / Political Economy,Vote share,Majority threshold for grant maintained status,School autonomy from local authority,Examination pass rates,Schools that narrowly voted to opt out of local authority saw effects on exam performance,Sharp,United Kingdom,Standard,Lee-Lemieux
13,Ding and Lehrer,2007,Education,Entrance examination scores,Admission score threshold,Assignment to elite vs regular schools,Academic achievement,Studied peer effects in Chinese secondary schools by exploiting admission exam cutoffs,Fuzzy,China,Standard,Lee-Lemieux
14,Kane,2003,Education,Income and GPA,Financial aid eligibility threshold (Cal Grant),Financial aid receipt,College attendance,Studied causal effect of financial aid on college-going in California,Fuzzy,United States,Standard,Lee-Lemieux
15,Goodman,2008,Education,Test scores,Scholarship offer threshold (Adams Scholarship),Scholarship offer,School choice and college enrollment,Studied merit-based scholarship offers on college choice in Massachusetts,Sharp,United States,Standard,Lee-Lemieux
